,ï»¿StateCode,StateName,CountyFips,CountyName,CountyTotalVote,Party,Candidate,VoteCount,Vote%
2215,PA,pennsylvania,42001,Adams,47138,GOP,Trump,31249.0,66.29
2217,PA,pennsylvania,42005,Armstrong,30446,GOP,Trump,22676.0,74.48
2218,PA,pennsylvania,42007,Beaver,79036,GOP,Trump,46081.0,58.3
2219,PA,pennsylvania,42009,Bedford,23504,GOP,Trump,19455.0,82.77
2220,PA,pennsylvania,42011,Berks,175934,GOP,Trump,93094.0,52.91
2221,PA,pennsylvania,42013,Blair,52029,GOP,Trump,37224.0,71.54
2222,PA,pennsylvania,42015,Bradford,25399,GOP,Trump,17957.0,70.7
2224,PA,pennsylvania,42019,Butler,92027,GOP,Trump,61388.0,66.71
2225,PA,pennsylvania,42021,Cambria,60167,GOP,Trump,40510.0,67.33
2226,PA,pennsylvania,42023,Cameron,2024,GOP,Trump,1495.0,73.86
2227,PA,pennsylvania,42025,Carbon,28721,GOP,Trump,18714.0,65.16
2230,PA,pennsylvania,42031,Clarion,17481,GOP,Trump,12545.0,71.76
2231,PA,pennsylvania,42033,Clearfield,32692,GOP,Trump,23909.0,73.13
2232,PA,pennsylvania,42035,Clinton,14839,GOP,Trump,9701.0,65.38
2233,PA,pennsylvania,42037,Columbia,27127,GOP,Trump,17387.0,64.09
2234,PA,pennsylvania,42039,Crawford,35563,GOP,Trump,23912.0,67.24
2235,PA,pennsylvania,42041,Cumberland,115068,GOP,Trump,65649.0,57.05
2238,PA,pennsylvania,42047,Elk,13854,GOP,Trump,9704.0,70.04
2239,PA,pennsylvania,42049,Erie,117240,GOP,Trump,57168.0,48.76
2240,PA,pennsylvania,42051,Fayette,53426,GOP,Trump,34388.0,64.37
2241,PA,pennsylvania,42053,Forest,2398,GOP,Trump,1680.0,70.06
2242,PA,pennsylvania,42055,Franklin,69345,GOP,Trump,49554.0,71.46
2243,PA,pennsylvania,42057,Fulton,6743,GOP,Trump,5676.0,84.18
2244,PA,pennsylvania,42059,Greene,14955,GOP,Trump,10394.0,69.5
2245,PA,pennsylvania,42061,Huntingdon,19496,GOP,Trump,14369.0,73.7
2246,PA,pennsylvania,42063,Indiana,37728,GOP,Trump,24920.0,66.05
2247,PA,pennsylvania,42065,Jefferson,18551,GOP,Trump,14533.0,78.34
2248,PA,pennsylvania,42067,Juniata,10402,GOP,Trump,8234.0,79.16
2250,PA,pennsylvania,42071,Lancaster,239151,GOP,Trump,137145.0,57.35
2251,PA,pennsylvania,42073,Lawrence,40555,GOP,Trump,25323.0,62.44
2252,PA,pennsylvania,42075,Lebanon,58906,GOP,Trump,38804.0,65.87
2254,PA,pennsylvania,42079,Luzerne,132731,GOP,Trump,77508.0,58.39
2255,PA,pennsylvania,42081,Lycoming,50294,GOP,Trump,35475.0,70.54
2256,PA,pennsylvania,42083,McKean,15572,GOP,Trump,11159.0,71.66
2257,PA,pennsylvania,42085,Mercer,49594,GOP,Trump,30034.0,60.56
2258,PA,pennsylvania,42087,Mifflin,18239,GOP,Trump,14050.0,77.03
2261,PA,pennsylvania,42093,Montour,8535,GOP,Trump,5274.0,61.79
2262,PA,pennsylvania,42095,Northampton,142775,GOP,Trump,71384.0,50.0
2263,PA,pennsylvania,42097,Northumberland,34971,GOP,Trump,24418.0,69.82
2264,PA,pennsylvania,42099,Perry,21153,GOP,Trump,15613.0,73.81
2266,PA,pennsylvania,42103,Pike,26066,GOP,Trump,16035.0,61.52
2267,PA,pennsylvania,42105,Potter,7777,GOP,Trump,6247.0,80.33
2268,PA,pennsylvania,42107,Schuylkill,62750,GOP,Trump,43937.0,70.02
2269,PA,pennsylvania,42109,Snyder,16333,GOP,Trump,11710.0,71.7
2270,PA,pennsylvania,42111,Somerset,35730,GOP,Trump,27347.0,76.54
2271,PA,pennsylvania,42113,Sullivan,3168,GOP,Trump,2318.0,73.17
2272,PA,pennsylvania,42115,Susquehanna,19200,GOP,Trump,13295.0,69.24
2273,PA,pennsylvania,42117,Tioga,17334,GOP,Trump,12928.0,74.58
2274,PA,pennsylvania,42119,Union,17400,GOP,Trump,10605.0,60.95
2275,PA,pennsylvania,42121,Venango,22096,GOP,Trump,15254.0,69.04
2276,PA,pennsylvania,42123,Warren,17624,GOP,Trump,12032.0,68.27
2277,PA,pennsylvania,42125,Washington,96945,GOP,Trump,58941.0,60.8
2278,PA,pennsylvania,42127,Wayne,22365,GOP,Trump,15269.0,68.27
2279,PA,pennsylvania,42129,Westmoreland,181740,GOP,Trump,116427.0,64.06
2280,PA,pennsylvania,42131,Wyoming,12418,GOP,Trump,8375.0,67.44
2281,PA,pennsylvania,42133,York,203153,GOP,Trump,126933.0,62.48
5329,PA,pennsylvania,42003,Allegheny,643173,DEM,Clinton,363017.0,56.44
5336,PA,pennsylvania,42017,Bucks,342572,DEM,Clinton,165861.0,48.42
5341,PA,pennsylvania,42027,Centre,75394,DEM,Clinton,36555.0,48.49
5342,PA,pennsylvania,42029,Chester,266637,DEM,Clinton,140188.0,52.58
5349,PA,pennsylvania,42043,Dauphin,130160,DEM,Clinton,64287.0,49.39
5350,PA,pennsylvania,42045,Delaware,284832,DEM,Clinton,169169.0,59.39
5362,PA,pennsylvania,42069,Lackawanna,102740,DEM,Clinton,51593.0,50.22
5366,PA,pennsylvania,42077,Lehigh,153031,DEM,Clinton,77087.0,50.37
5372,PA,pennsylvania,42089,Monroe,65944,DEM,Clinton,31930.0,48.42
5373,PA,pennsylvania,42091,Montgomery,427489,DEM,Clinton,251063.0,58.73
5378,PA,pennsylvania,42101,Philadelphia,680227,DEM,Clinton,560542.0,82.41
